0.0000000000,4.0000000000
0.0309961286,3.9600771663
0.0564611951,3.9148918843
0.0794453975,3.8664739398
0.1011650988,3.8163426094
0.1223412636,3.7658386727
0.1435453454,3.7163040562
0.1653779773,3.6692562432
0.1886821678,3.6266827425
0.2150890190,3.5918345685
0.2497879491,3.5732326569
0.6440560483,3.4921559100
0.6561187221,3.4089999933
0.6679072118,3.3242838867
0.6795024083,3.2384958117
0.6909744151,3.1521077895
0.7023874744,3.0655878980
0.7138038678,2.9794120007
0.7252875624,2.8940761007
0.7369082044,2.8101112243
0.7487462787,2.7281028931
0.7609006998,2.6487191551
0.7735013036,2.5727546355
0.7867317468,2.5012067577
0.8008771542,2.4354235089
0.8164411037,2.3774428757
0.8345191734,2.3310137722
0.8588017196,2.3070184751
1.3683115845,2.1887338205
1.3770570030,2.0714021133
1.3858839012,1.9554390657
1.3948265671,1.8412884312
1.4039244809,1.7294331960
1.4132248052,1.6204104910
1.4227861144,1.5148330849
1.4326843574,1.4134220307
1.4430231619,1.3170587932
1.4539530532,1.2268775759
1.4657117578,1.1444462021
1.4787236909,1.0721829238
1.4939181159,1.0146173266
1.5144407675,0.9851231909
2.0592366928,0.8499055549
2.0667526604,0.7170858654
2.0744133866,0.5871043861
2.0822521846,0.4604522414
2.0903102918,0.3376889511
2.0986405248,0.2194677244
2.1073132279,0.1065757170
2.1164268079,0.0000000000
